"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2024","19.85","19.65","20.10","19.65","2.72K","1.02%"
"29/11/2024","19.65","20.70","20.70","19.50","1.38K","0.00%"
"28/11/2024","19.65","20.00","20.10","19.45","2.66K","0.26%"
"27/11/2024","19.60","19.90","19.95","19.40","2.32K","-0.51%"
"26/11/2024","19.70","19.55","19.70","19.55","1.20K","0.25%"
"25/11/2024","19.65","19.90","19.90","19.60","0.54K","-1.75%"
"22/11/2024","20.00","20.00","20.00","19.50","0.78K","2.83%"
"21/11/2024","19.45","20.10","20.40","19.40","4.42K","-2.02%"
"20/11/2024","19.85","20.00","20.20","19.70","5.14K","-0.25%"
"19/11/2024","19.90","19.45","20.00","18.95","6.01K","3.92%"
"18/11/2024","19.15","19.40","19.60","19.10","1.52K","-1.29%"
"15/11/2024","19.40","19.30","19.45","19.30","0.25K","0.26%"
"14/11/2024","19.35","19.35","19.55","19.35","0.15K","0.52%"
"13/11/2024","19.25","19.40","19.50","19.20","0.88K","-0.52%"
"12/11/2024","19.35","19.35","19.55","19.35","2.29K","-1.02%"
"11/11/2024","19.55","19.25","19.60","19.20","3.23K","1.82%"
"08/11/2024","19.20","19.25","19.40","19.20","1.25K","-1.03%"
"07/11/2024","19.40","19.20","19.60","19.20","1.44K","0.26%"
"06/11/2024","19.35","19.50","19.50","19.30","2.19K","-0.77%"
"05/11/2024","19.50","19.30","19.55","19.15","1.02K","-0.26%"
"04/11/2024","19.55","19.50","19.55","19.20","2.84K","0.26%"
"01/11/2024","19.50","19.05","19.60","19.05","18.77K","2.90%"
"31/10/2024","18.95","19.55","19.55","18.95","2.44K","0.26%"
"30/10/2024","18.90","19.00","19.10","18.90","0.43K","-0.79%"
"29/10/2024","19.05","18.95","19.10","18.95","4.21K","0.53%"
"28/10/2024","18.95","19.25","19.55","18.95","2.45K","-0.52%"
"25/10/2024","19.05","19.25","19.25","19.00","1.61K","-0.78%"
"24/10/2024","19.20","19.20","19.40","19.00","4.62K","-1.29%"
"23/10/2024","19.45","19.60","19.60","19.30","1.20K","0.26%"
"22/10/2024","19.40","19.10","19.60","19.05","10.23K","3.19%"
"21/10/2024","18.80","18.70","19.00","18.40","1.20K","0.27%"
"18/10/2024","18.75","18.80","18.80","18.75","0.16K","0.00%"
"17/10/2024","18.75","18.50","19.00","18.50","0.51K","1.63%"
"16/10/2024","18.45","18.45","18.45","18.45","0.04K","0.54%"
"15/10/2024","18.35","19.05","19.05","18.35","0.95K","-0.81%"
"14/10/2024","18.50","18.70","18.80","18.20","2.41K","-2.12%"
"11/10/2024","18.90","19.05","19.05","18.80","2.08K","-0.26%"
"10/10/2024","18.95","19.00","19.00","18.90","0.22K","0.26%"
"09/10/2024","18.90","18.90","19.00","18.70","0.56K","-0.53%"
"08/10/2024","19.00","18.70","19.00","18.70","0.10K","1.60%"
"07/10/2024","18.70","18.85","18.85","18.70","0.49K","-1.58%"
"04/10/2024","19.00","19.00","19.05","19.00","0.97K","0.53%"
"03/10/2024","18.90","18.90","18.95","18.90","0.18K","0.27%"
"02/10/2024","18.85","18.85","18.85","18.85","0.05K","-1.82%"
"01/10/2024","19.20","19.30","19.60","19.05","3.14K","-0.52%"
"30/09/2024","19.30","19.55","19.55","19.05","0.56K","0.78%"
